,ll,Bluewidth,Redwidth,Maxratio,fmin,fmin_sp,Blueratio,Redratio,Fullratio,Element,ionisation,Teff,logg,FeH,Resolution,min_snr_res,min_snr_AA
118,5417.0,5416.8,5417.3,0.915,0.879,0.87,0.873,0.915,0.894,Fe,1,5750.0,4.5,0.0,20000,37,71
119,5421.8,5421.7,5422.2,0.905,0.917,0.91,0.905,0.852,0.872,Fe,1,5750.0,4.5,0.0,20000,54,104
120,5424.1,5423.7,5424.5,0.973,0.461,0.459,0.973,0.933,0.953,Fe,1,5750.0,4.5,0.0,20000,8,16
266,5425.2,5425.0,5425.5,0.923,0.833,0.822,0.852,0.923,0.886,Fe,2,5750.0,4.5,0.0,20000,26,51
121,5428.7,5428.5,5429.1,0.846,0.929,0.915,0.846,0.615,0.684,Fe,1,5750.0,4.5,0.0,20000,63,121
122,5429.7,5429.3,5430.1,0.993,0.309,0.309,0.993,0.991,0.992,Fe,1,5750.0,4.5,0.0,20000,6,12
123,5432.9,5432.7,5433.4,0.859,0.751,0.727,0.758,0.859,0.817,Fe,1,5750.0,4.5,0.0,20000,18,34
124,5433.6,5433.5,5433.9,0.871,0.935,0.924,0.748,0.871,0.811,Fe,1,5750.0,4.5,0.0,20000,69,132
125,5434.5,5434.1,5434.9,0.988,0.425,0.423,0.988,0.983,0.986,Fe,1,5750.0,4.5,0.0,20000,7,15
126,5435.2,5434.8,5435.4,0.928,0.914,0.905,0.928,0.845,0.911,Fe,1,5750.0,4.5,0.0,20000,52,100
127,5436.3,5436.1,5436.7,0.954,0.849,0.843,0.906,0.954,0.943,Fe,1,5750.0,4.5,0.0,20000,29,57
128,5436.6,5436.2,5437.0,0.962,0.762,0.753,0.962,0.814,0.902,Fe,1,5750.0,4.5,0.0,20000,18,36
129,5437.1,5436.7,5437.3,0.871,0.888,0.867,0.735,0.871,0.78,Fe,1,5750.0,4.5,0.0,20000,40,77
130,5441.3,5441.1,5441.6,0.925,0.878,0.867,0.834,0.925,0.877,Fe,1,5750.0,4.5,0.0,20000,36,70
131,5445.0,5444.6,5445.4,0.956,0.591,0.589,0.939,0.956,0.948,Fe,1,5750.0,4.5,0.0,20000,11,21
132,5446.9,5446.5,5447.3,0.985,0.363,0.361,0.961,0.985,0.971,Fe,1,5750.0,4.5,0.0,20000,7,13
133,5448.3,5448.1,5448.5,0.897,0.911,0.903,0.897,0.831,0.863,Fe,1,5750.0,4.5,0.0,20000,50,96
134,5455.6,5455.2,5456.0,0.996,0.294,0.294,0.996,0.96,0.982,Fe,1,5750.0,4.5,0.0,20000,6,12
135,5461.5,5461.4,5461.7,0.902,0.921,0.915,0.898,0.902,0.9,Fe,1,5750.0,4.5,0.0,20000,56,109
136,5463.0,5462.6,5463.4,0.992,0.574,0.572,0.813,0.992,0.931,Fe,1,5750.0,4.5,0.0,20000,10,20
137,5463.3,5462.9,5463.7,0.993,0.561,0.558,0.993,0.958,0.982,Fe,1,5750.0,4.5,0.0,20000,10,19
138,5464.3,5464.0,5464.5,0.966,0.811,0.807,0.881,0.966,0.921,Fe,1,5750.0,4.5,0.0,20000,23,45
139,5466.4,5466.1,5466.8,0.95,0.707,0.701,0.94,0.95,0.945,Fe,1,5750.0,4.5,0.0,20000,15,29
140,5467.0,5466.6,5467.2,0.932,0.842,0.832,0.894,0.932,0.909,Fe,1,5750.0,4.5,0.0,20000,28,54
141,5469.3,5469.1,5469.4,0.71,0.932,0.901,0.71,0.589,0.646,Fe,1,5750.0,4.5,0.0,20000,66,126
142,5470.1,5469.9,5470.4,0.911,0.851,0.842,0.911,0.87,0.885,Fe,1,5750.0,4.5,0.0,20000,30,57
143,5472.7,5472.5,5473.1,0.894,0.836,0.807,0.709,0.894,0.807,Fe,1,5750.0,4.5,0.0,20000,27,52
144,5473.2,5472.8,5473.4,0.906,0.915,0.907,0.906,0.667,0.824,Fe,1,5750.0,4.5,0.0,20000,52,101
145,5473.9,5473.6,5474.2,0.91,0.688,0.685,0.91,0.864,0.886,Fe,1,5750.0,4.5,0.0,20000,14,27
146,5476.6,5476.2,5477.0,0.972,0.553,0.534,0.972,0.413,0.651,Fe,1,5750.0,4.5,0.0,20000,10,19
147,5478.5,5478.2,5478.7,0.737,0.878,0.822,0.525,0.737,0.613,Fe,1,5750.0,4.5,0.0,20000,36,70
148,5480.9,5480.6,5481.3,0.899,0.78,0.726,0.605,0.899,0.789,Fe,1,5750.0,4.5,0.0,20000,20,39
149,5481.2,5480.8,5481.7,0.887,0.719,0.669,0.887,0.816,0.848,Fe,1,5750.0,4.5,0.0,20000,16,30
150,5483.1,5482.9,5483.3,0.957,0.807,0.791,0.957,0.472,0.633,Fe,1,5750.0,4.5,0.0,20000,23,44
151,5487.1,5486.9,5487.6,0.93,0.855,0.848,0.916,0.93,0.925,Fe,1,5750.0,4.5,0.0,20000,31,59
152,5487.7,5487.3,5488.2,0.958,0.592,0.582,0.958,0.838,0.899,Fe,1,5750.0,4.5,0.0,20000,11,21
153,5491.8,5491.7,5492.0,0.783,0.94,0.93,0.765,0.783,0.774,Fe,1,5750.0,4.5,0.0,20000,74,143
154,5493.3,5493.1,5493.7,0.921,0.705,0.682,0.774,0.921,0.873,Fe,1,5750.0,4.5,0.0,20000,15,29
155,5494.5,5494.3,5494.7,0.891,0.901,0.893,0.887,0.891,0.889,Fe,1,5750.0,4.5,0.0,20000,45,86
156,5497.5,5497.1,5497.9,0.923,0.562,0.519,0.739,0.923,0.821,Fe,1,5750.0,4.5,0.0,20000,10,19
157,5498.4,5498.2,5498.6,0.853,0.938,0.931,0.846,0.853,0.85,Fe,1,5750.0,4.5,0.0,20000,72,138
158,5501.5,5501.1,5501.8,0.929,0.586,0.571,0.929,0.895,0.911,Fe,1,5750.0,4.5,0.0,20000,10,20
159,5505.7,5505.5,5506.1,0.949,0.699,0.68,0.949,0.86,0.887,Fe,1,5750.0,4.5,0.0,20000,14,28
160,5506.8,5506.4,5507.2,0.973,0.549,0.547,0.905,0.973,0.938,Fe,1,5750.0,4.5,0.0,20000,9,19
161,5512.3,5512.0,5512.6,0.857,0.76,0.733,0.857,0.556,0.63,Fe,1,5750.0,4.5,0.0,20000,18,35
162,5521.3,5520.9,5521.5,0.964,0.743,0.732,0.964,0.747,0.863,Fe,1,5750.0,4.5,0.0,20000,17,33
