# wavelength_payne flux_payne
3938.211455 0.927214
3938.225899 0.924442
3938.240343 0.921630
3938.254786 0.918839
3938.269230 0.916256
3938.283674 0.913922
3938.298118 0.911843
3938.312562 0.910117
3938.327006 0.908872
3938.341450 0.908169
3938.355894 0.908006
3938.370338 0.908382
3938.384782 0.909297
3938.399227 0.910680
3938.413671 0.912440
3938.428115 0.914559
3938.442560 0.917054
3938.457004 0.919878
3938.471449 0.922908
3938.485893 0.926097
3938.500338 0.929376
3938.514783 0.932621
3938.529227 0.935781
3938.543672 0.938861
3938.558117 0.941840
3938.572562 0.944612
3938.587007 0.947110
3938.601452 0.949305
3938.615897 0.951178
3938.630342 0.952736
3938.644787 0.954024
3938.659233 0.955121
3938.673678 0.956100
3938.688123 0.956947
3938.702569 0.957668
3938.717014 0.958275
3938.731459 0.958770
3938.745905 0.959164
3938.760351 0.959485
3938.774796 0.959760
3938.789242 0.959990
3938.803688 0.960184
3938.818133 0.960367
3938.832579 0.960546
3938.847025 0.960729
3938.861471 0.960921
3938.875917 0.961130
3938.890363 0.961354
3938.904809 0.961589
3938.919256 0.961833
3938.933702 0.962086
3938.948148 0.962349
3938.962594 0.962615
3938.977041 0.962875
3938.991487 0.963125
3939.005934 0.963361
3939.020380 0.963579
3939.034827 0.963779
3939.049274 0.963967
3939.063720 0.964153
3939.078167 0.964346
3939.092614 0.964548
3939.107061 0.964761
3939.121508 0.964988
3939.135955 0.965229
3939.150402 0.965482
3939.164849 0.965741
3939.179296 0.966006
3939.193743 0.966275
3939.208190 0.966547
3939.222637 0.966814
3939.237085 0.967073
3939.251532 0.967322
3939.265980 0.967557
3939.280427 0.967776
3939.294875 0.967979
3939.309322 0.968167
3939.323770 0.968340
3939.338218 0.968493
3939.352665 0.968629
3939.367113 0.968753
3939.381561 0.968869
3939.396009 0.968981
3939.410457 0.969094
3939.424905 0.969210
3939.439353 0.969327
3939.453801 0.969443
3939.468249 0.969555
3939.482698 0.969665
3939.497146 0.969774
3939.511594 0.969887
3939.526043 0.970009
3939.540491 0.970143
3939.554940 0.970289
3939.569388 0.970444
3939.583837 0.970607
3939.598286 0.970773
3939.612734 0.970939
3939.627183 0.971103
3939.641632 0.971264
3939.656081 0.971423
3939.670530 0.971577
3939.684979 0.971724
3939.699428 0.971861
3939.713877 0.971989
3939.728326 0.972108
3939.742775 0.972220
3939.757224 0.972328
3939.771674 0.972438
3939.786123 0.972550
3939.800572 0.972662
3939.815022 0.972773
3939.829471 0.972879
3939.843921 0.972979
3939.858371 0.973070
3939.872820 0.973146
3939.887270 0.973205
3939.901720 0.973246
3939.916170 0.973278
3939.930619 0.973302
3939.945069 0.973323
3939.959519 0.973349
3939.973969 0.973388
3939.988420 0.973443
3940.002870 0.973514
3940.017320 0.973599
3940.031770 0.973695
3940.046220 0.973801
3940.060671 0.973912
3940.075121 0.974025
3940.089572 0.974140
3940.104022 0.974256
3940.118473 0.974372
3940.132923 0.974487
3940.147374 0.974599
3940.161825 0.974703
3940.176276 0.974793
3940.190726 0.974867
3940.205177 0.974923
3940.219628 0.974963
3940.234079 0.974985
3940.248530 0.974994
3940.262981 0.975000
3940.277433 0.975011
3940.291884 0.975030
3940.306335 0.975061
3940.320786 0.975116
3940.335238 0.975199
3940.349689 0.975309
3940.364141 0.975444
3940.378592 0.975601
3940.393044 0.975777
3940.407495 0.975966
3940.421947 0.976155
3940.436399 0.976342
3940.450851 0.976525
3940.465302 0.976689
3940.479754 0.976825
3940.494206 0.976929
3940.508658 0.976983
3940.523110 0.976942
3940.537562 0.976785
3940.552015 0.976505
3940.566467 0.976081
3940.580919 0.975500
3940.595371 0.974769
3940.609824 0.973799
3940.624276 0.972387
3940.638729 0.970412
3940.653181 0.967826
3940.667634 0.964519
3940.682086 0.960462
3940.696539 0.955727
3940.710992 0.950411
3940.725445 0.944536
3940.739898 0.938054
3940.754350 0.931008
3940.768803 0.923863
3940.783256 0.916839
3940.797709 0.910124
3940.812163 0.904089
3940.826616 0.899050
3940.841069 0.895040
3940.855522 0.892019
3940.869976 0.890311
3940.884429 0.890197
3940.898882 0.891729
3940.913336 0.894789
3940.927789 0.899244
3940.942243 0.904923
3940.956697 0.911443
3940.971150 0.918176
3940.985604 0.925078
3941.000058 0.932085
3941.014512 0.938785
3941.028966 0.944856
3941.043420 0.950154
3941.057874 0.954580
3941.072328 0.958013
3941.086782 0.960468
3941.101236 0.962096
3941.115690 0.963138
3941.130145 0.963648
3941.144599 0.963645
3941.159053 0.963243
3941.173508 0.962616
3941.187962 0.961819
3941.202417 0.960931
3941.216871 0.960142
3941.231326 0.959510
3941.245781 0.959044
3941.260235 0.958766
3941.274690 0.958729
3941.289145 0.958955
3941.303600 0.959434
3941.318055 0.960108
3941.332510 0.960955
3941.346965 0.961938
3941.361420 0.962975
3941.375875 0.963999
3941.390331 0.964999
3941.404786 0.965969
3941.419241 0.966859
3941.433697 0.967648
3941.448152 0.968332
3941.462608 0.968911
3941.477063 0.969391
3941.491519 0.969780
3941.505975 0.970101
3941.520430 0.970381
3941.534886 0.970614
3941.549342 0.970803
3941.563798 0.970920
3941.578254 0.970938
3941.592710 0.970841
3941.607166 0.970633
3941.621622 0.970341
3941.636078 0.969983
3941.650534 0.969587
3941.664990 0.969204
3941.679447 0.968859
3941.693903 0.968551
3941.708359 0.968303
3941.722816 0.968192
3941.737272 0.968261
3941.751729 0.968529
3941.766186 0.968997
3941.780642 0.969651
3941.795099 0.970456
3941.809556 0.971354
3941.824012 0.972292
3941.838469 0.973277
3941.852926 0.974310
3941.867383 0.975344
3941.881840 0.976349
3941.896297 0.977304
3941.910755 0.978178
3941.925212 0.978948
3941.939669 0.979618
3941.954126 0.980204
3941.968584 0.980710
3941.983041 0.981119
3941.997499 0.981428
3942.011956 0.981640
3942.026414 0.981758
3942.040871 0.981791
3942.055329 0.981755
3942.069787 0.981674
3942.084244 0.981544
3942.098702 0.981365
3942.113160 0.981123
3942.127618 0.980798
3942.142076 0.980380
3942.156534 0.979857
3942.170992 0.979169
3942.185450 0.978285
3942.199909 0.977200
3942.214367 0.975880
3942.228825 0.974293
3942.243284 0.972436
3942.257742 0.970318
3942.272200 0.967902
3942.286659 0.965153
3942.301118 0.962080
3942.315576 0.958816
3942.330035 0.955455
3942.344494 0.952071
3942.358952 0.948817
3942.373411 0.945938
3942.387870 0.943496
3942.402329 0.941496
3942.416788 0.940149
3942.431247 0.939593
3942.445706 0.939860
3942.460165 0.940891
3942.474625 0.942602
3942.489084 0.944941
3942.503543 0.947762
3942.518003 0.950733
3942.532462 0.953784
3942.546921 0.956874
3942.561381 0.959852
3942.575841 0.962540
3942.590300 0.964876
3942.604760 0.966836
3942.619220 0.968351
3942.633679 0.969402
3942.648139 0.970033
3942.662599 0.970334
3942.677059 0.970362
3942.691519 0.970125
3942.705979 0.969686
3942.720439 0.969215
3942.734900 0.968766
3942.749360 0.968384
3942.763820 0.968179
3942.778280 0.968216
3942.792741 0.968501
3942.807201 0.969010
3942.821662 0.969711
3942.836122 0.970608
3942.850583 0.971674
3942.865043 0.972824
3942.879504 0.974006
3942.893965 0.975196
3942.908426 0.976340
3942.922887 0.977346
3942.937347 0.978190
3942.951808 0.978869
3942.966269 0.979373
3942.980731 0.979697
3942.995192 0.979854
3943.009653 0.979878
3943.024114 0.979807
3943.038575 0.979642
3943.053037 0.979400
3943.067498 0.979132
3943.081960 0.978859
3943.096421 0.978593
3943.110883 0.978341
3943.125344 0.978103
3943.139806 0.977867
3943.154268 0.977621
3943.168729 0.977336
3943.183191 0.977008
3943.197653 0.976640
3943.212115 0.976244
3943.226577 0.975836
3943.241039 0.975421
3943.255501 0.975011
3943.269963 0.974642
3943.284425 0.974328
3943.298887 0.974074
3943.313350 0.973908
3943.327812 0.973859
3943.342275 0.973938
3943.356737 0.974140
3943.371199 0.974460
3943.385662 0.974898
3943.400125 0.975437
3943.414587 0.976023
3943.429050 0.976622
3943.443513 0.977220
3943.457976 0.977789
3943.472438 0.978283
3943.486901 0.978689
3943.501364 0.979009
3943.515827 0.979188
3943.530291 0.979186
3943.544754 0.978985
3943.559217 0.978575
3943.573680 0.977933
3943.588143 0.977055
3943.602607 0.975966
3943.617070 0.974548
3943.631534 0.972703
3943.645997 0.970387
3943.660461 0.967487
3943.674924 0.963834
3943.689388 0.959362
3943.703852 0.954121
3943.718315 0.948128
3943.732779 0.941353
3943.747243 0.933858
3943.761707 0.925436
3943.776171 0.915691
3943.790635 0.904364
3943.805099 0.891411
3943.819563 0.877059
3943.834028 0.861485
3943.848492 0.845025
3943.862956 0.828297
3943.877420 0.811677
3943.891885 0.795167
3943.906349 0.778975
3943.920814 0.764317
3943.935278 0.751860
3943.949743 0.741953
3943.964208 0.735113
3943.978672 0.731581
3943.993137 0.731135
3944.007602 0.733330
3944.022067 0.738045
3944.036532 0.745685
3944.050997 0.756242
3944.065462 0.769160
3944.079927 0.784032
3944.094392 0.800410
3944.108857 0.817503
3944.123323 0.834378
3944.137788 0.851026
3944.152253 0.867465
3944.166719 0.883139
3944.181184 0.897659
3944.195650 0.910816
